name,price,day,pecentage,weekly,monthly,YTD,YOY,date,file_type
EURUSD,1.04255,0.0064,0.61,-0.7190,-0.4146,-5.5319,-5.2916,Dec/20,csv
GBPUSD,1.25650,0.0062,0.50,-0.4240,-0.1557,-1.2884,-0.9694,Dec/20,csv
AUDUSD,0.62510,0.0013,0.21,-1.6984,-3.9667,-8.2085,-8.0870,Dec/20,csv
NZDUSD,0.56510,0.0010,0.18,-1.9689,-3.5089,-10.6279,-10.1875,Dec/20,csv
USDJPY,156.365,-1.0530,-0.67,1.7005,1.4313,10.8496,10.0384,Dec/20,csv
USDCNY,7.29395,-0.0151,-0.21,0.1765,0.5385,2.3684,2.1347,Dec/20,csv
USDCHF,0.89370,-0.0053,-0.59,0.0560,0.7758,6.2032,4.3920,Dec/20,csv
USDCAD,1.43530,-0.0046,-0.32,0.7935,2.6358,8.3654,8.0798,Dec/20,csv
USDMXN,20.0777,-0.2383,-1.17,-0.2400,-1.7798,18.4246,17.9515,Dec/20,csv
USDINR,84.9470,-0.0054,-0.01,0.1946,0.6126,2.1120,2.1415,Dec/21,csv
USDBRL,6.08530,-0.0012,-0.02,0.7183,4.8973,25.4158,25.2506,Dec/21,csv
USDRUB,102.9955,-0.5000,-0.48,-1.4355,1.6783,15.4069,10.9023,Dec/20,csv
USDKRW,1444.57,-2.0000,-0.14,0.7350,2.8530,11.6015,11.3563,Dec/21,csv
USDTRY,35.1956,0.1281,0.37,0.7782,1.9245,19.4018,20.9238,Dec/20,csv
DXY,107.810,0.0000,0.00,0.7542,0.7078,6.3435,5.8590,Dec/20,csv
USDSEK,11.02680,-0.0075,-0.07,0.4770,-0.3514,9.5341,9.3224,Dec/20,csv
USDPLN,4.09045,-0.0170,-0.41,0.7103,-1.3934,4.0086,4.1914,Dec/20,csv
USDNOK,11.31270,-0.1320,-1.15,1.5216,2.1735,11.6190,10.2527,Dec/20,csv
USDZAR,18.3130,-0.0716,-0.39,2.5509,1.1342,0.1686,-0.1912,Dec/20,csv
USDDKK,7.14650,-0.0518,-0.72,0.6450,0.3116,5.8082,5.5317,Dec/20,csv
USDSGD,1.35750,-0.0039,-0.28,0.6115,0.8124,2.9111,2.3678,Dec/20,csv
USDILS,3.64630,-0.0024,-0.07,1.2257,-1.6735,1.2636,0.6459,Dec/20,csv
USDHKD,7.77485,0.0052,0.07,-0.0135,-0.1050,-0.4322,-0.4284,Dec/20,csv
USDCLP,988.500,-0.6500,-0.07,0.2708,0.1845,12.2556,10.8246,Dec/21,csv
USDPKR,278.272,-0.0317,-0.01,0.1248,0.1186,-0.9604,-1.5664,Dec/20,csv
USDCZK,24.1440,-0.1145,-0.47,1.2221,-0.2586,8.0172,8.3176,Dec/20,csv
USDHUF,400.242,0.0350,0.01,2.7195,2.0453,15.4200,15.4267,Dec/20,csv
EURUSD,1.04255,0.0064,0.61,-0.7190,-0.4146,-5.5319,-5.2916,Dec/20,csv
GBPUSD,1.25650,0.0062,0.50,-0.4240,-0.1557,-1.2884,-0.9694,Dec/20,csv
USDCHF,0.89370,-0.0053,-0.59,0.0560,0.7758,6.2032,4.3920,Dec/20,csv
USDRUB,102.9955,-0.5000,-0.48,-1.4355,1.6783,15.4069,10.9023,Dec/20,csv
USDTRY,35.1956,0.1281,0.37,0.7782,1.9245,19.4018,20.9238,Dec/20,csv
USDSEK,11.02680,-0.0075,-0.07,0.4770,-0.3514,9.5341,9.3224,Dec/20,csv
USDPLN,4.09045,-0.0170,-0.41,0.7103,-1.3934,4.0086,4.1914,Dec/20,csv
USDNOK,11.31270,-0.1320,-1.15,1.5216,2.1735,11.6190,10.2527,Dec/20,csv
USDDKK,7.14650,-0.0518,-0.72,0.6450,0.3116,5.8082,5.5317,Dec/20,csv
USDCZK,24.1440,-0.1145,-0.47,1.2221,-0.2586,8.0172,8.3176,Dec/20,csv
USDRON,4.76850,-0.0028,-0.06,0.7373,-0.1696,5.8867,5.7247,Dec/21,csv
USDHUF,400.242,0.0350,0.01,2.7195,2.0453,15.4200,15.4267,Dec/20,csv
USDUAH,41.9500,-0.1000,-0.24,0.4790,1.6159,10.2497,11.5840,Dec/20,csv
USDBYR,3.26610,0.0000,0.00,0.0000,0.0000,-0.8801,-0.6691,Dec/20,csv
USDRSD,112.176,-0.7359,-0.65,0.7500,0.3664,5.7362,5.5074,Dec/20,csv
USDBAM,1.87550,-0.0109,-0.58,0.6980,0.4822,5.8528,5.6084,Dec/20,csv
USDISK,138.960,-0.1700,-0.12,0.2814,-0.5083,2.2893,1.7947,Dec/21,csv
USDALL,94.100,0.0000,0.00,1.6199,0.2450,0.5127,0.3091,Dec/21,csv
USDMKD,58.9800,0.0000,0.00,0.7516,1.4099,6.3086,5.9648,Dec/21,csv
USDMDL,18.3200,0.0000,0.00,0.7701,0.8172,6.2152,4.7156,Dec/21,csv
USDBGN,1.87460,-0.0124,-0.66,0.5849,0.4851,5.8020,5.5637,Dec/20,csv
USDCAD,1.43530,-0.0046,-0.32,0.7935,2.6358,8.3654,8.0798,Dec/20,csv
