Country,GDP,GDP_Growth,Interest_Rate,Inflation_Rate,Jobless_Rate,Gov_Budget,Debt_per_GDP,Current_Account,Population,file_type
Japan,4213,0.30,0.25,2.90,2.50,-5.50,255.20,3.60,124.30,csv
Ukraine,179,0.20,13.50,11.20,10.50,-20.30,84.40,-5.70,41.21,csv
Colombia,364,0.20,9.50,5.20,9.10,-4.20,54.30,-2.70,52.22,csv
India,3550,1.10,6.50,5.48,8.00,-5.63,81.59,-1.20,1386.18,csv
Namibia,12,-2.03,7.00,3.00,19.60,-3.20,65.30,-15.00,2.64,csv
Slovakia,133,0.30,3.15,3.20,4.90,-5.20,56.10,-1.60,5.43,csv
Chile,336,0.70,5.00,4.20,8.60,-2.50,39.40,-3.60,19.96,csv
South Korea,1713,0.10,3.00,1.50,2.70,-2.60,51.50,1.30,51.71,csv
Bulgaria,102,0.60,3.04,2.10,5.20,-2.00,23.90,-0.30,6.45,csv
Peru,268,1.20,5.00,2.27,5.70,-1.70,33.00,0.60,33.73,csv
Indonesia,1371,1.50,6.00,1.55,4.91,-1.65,39.30,-0.30,278.70,csv
Luxembourg,86,0.20,3.15,0.80,5.90,-1.30,25.70,6.00,0.66,csv
Dominican Republic,121,2.80,6.00,3.18,5.30,-3.25,60.02,-3.60,10.79,csv
Saudi Arabia,1068,0.90,5.00,2.00,3.30,-2.00,30.00,5.90,32.18,csv
Croatia,83,0.80,3.15,2.80,5.00,-0.70,63.50,1.10,3.85,csv
Ecuador,119,-1.86,10.73,1.51,4.70,-0.86,55.40,1.90,18.19,csv
Taiwan,757,1.08,2.00,2.08,3.38,-0.50,28.20,11.80,23.42,csv
Lithuania,78,1.20,3.15,1.30,8.70,-0.70,37.30,1.90,2.89,csv
Venezuela,112,-23.70,59.29,23.58,5.90,-4.50,146.30,3.40,33.73,csv
Thailand,515,1.20,2.25,0.95,1.02,-2.80,61.90,-0.20,66.05,csv
Serbia,75,0.50,5.75,4.30,8.10,-1.00,52.00,-2.60,6.61,csv
Israel,510,0.10,4.50,3.40,2.70,-6.90,62.00,5.00,9.84,csv
Slovenia,68,0.30,3.15,1.80,4.40,-2.50,69.20,4.50,2.12,csv
Costa Rica,87,0.60,4.00,-0.10,8.50,-1.50,61.12,-1.00,5.26,csv
United Arab Emirates,504,2.00,4.40,3.01,2.95,4.50,32.40,9.30,9.52,csv
Cape Verde,3,-2.50,1.50,1.60,10.30,-4.40,114.70,-5.80,0.59,csv
Latvia,44,-0.20,3.15,2.20,6.70,-2.40,45.00,-3.90,1.87,csv
Uruguay,77,0.60,8.50,5.03,7.20,-3.10,64.50,-4.70,3.44,csv
Singapore,501,3.20,2.99,1.40,1.90,-1.60,167.80,19.80,5.92,csv
Estonia,41,0.00,3.15,3.70,7.40,-2.80,20.20,-2.10,1.37,csv
Cyprus,32,1.00,3.15,1.50,4.50,3.10,73.60,-9.50,0.93,csv
Philippines,437,1.70,5.75,2.50,3.90,-6.20,60.10,-1.30,111.90,csv
Bolivia,46,14.04,3.33,9.51,2.80,-7.49,80.80,-2.70,12.01,csv
Paraguay,43,-5.04,6.00,3.40,5.30,-4.00,41.20,0.30,7.55,csv
Bangladesh,437,6.03,10.00,11.38,4.20,5.00,31.70,0.70,170.80,csv
Lesotho,2,-0.61,7.50,4.70,16.30,-2.20,59.00,-6.70,2.33,csv
Iceland,31,-1.10,8.50,4.80,3.30,-2.00,64.80,1.10,0.40,csv
El Salvador,34,-0.20,5.53,-0.31,5.20,-2.24,84.68,-4.50,6.31,csv
Vietnam,430,6.88,4.50,2.77,2.24,-4.00,37.10,0.20,100.30,csv
Bosnia and Herzegovina,27,1.00,4.29,0.90,12.20,-1.20,17.10,-2.70,3.43,csv
Honduras,34,1.70,5.75,3.94,6.40,-3.60,44.95,-3.90,9.75,csv
Trinidad and Tobago,28,-2.00,3.50,0.20,4.80,-1.73,56.10,11.30,1.37,csv
Albania,23,1.20,2.75,2.00,10.70,-1.40,58.90,-0.90,2.76,csv
Malaysia,400,1.80,3.00,1.80,3.20,-5.00,61.10,2.70,33.40,csv
Malta,21,0.40,3.15,2.10,3.10,-4.50,47.40,6.40,0.56,csv
Jamaica,19,-0.70,6.00,4.30,3.60,0.30,73.30,-3.20,2.83,csv
Hong Kong,382,-1.10,4.75,1.40,3.10,-5.00,38.40,7.10,7.50,csv
Moldova,17,-3.10,3.60,5.40,3.60,-5.20,34.60,-11.90,2.51,csv
Pakistan,338,5.79,13.00,4.90,5.70,-7.70,91.00,-0.20,240.49,csv
Kazakhstan,261,1.26,15.25,8.40,4.60,-2.30,22.80,-3.30,20.03,csv
Macedonia,15,0.80,5.55,4.30,12.30,-4.80,50.00,-1.40,1.83,csv
Qatar,236,1.00,5.10,0.83,0.10,5.60,43.30,17.10,2.97,csv
Kuwait,162,4.70,4.00,2.44,2.10,14.00,3.40,30.30,4.91,csv
Sri Lanka,84,1.40,8.00,-2.10,4.70,-10.20,103.90,1.80,22.04,csv
Bahrain,43,3.10,5.25,0.30,5.50,-5.60,121.20,6.60,1.49,csv
Mongolia,20,6.10,10.00,8.10,6.10,1.90,40.00,-10.90,3.50,csv
