name,price,day,pecentage,weekly,monthly,YTD,YOY,date,file_type
Bitcoin,97173,-777.0000,-0.79,-4.0248,-1.4742,128.6155,120.7674,Dec/21,csv
BTCETH,28.8544,0.3206,1.12,11.7277,-5.7072,54.8792,44.7603,Dec/20,csv
BTCEUR,92350.6,"-2,177.4713",-2.30,-4.2180,-1.9732,142.6577,130.9605,Dec/20,csv
BTCGBP,76588.5,"-1,752.6598",-2.24,-4.5480,-2.2746,132.1137,120.7732,Dec/20,csv
BTCAUD,154002.3,"-3,019.1471",-1.92,-3.2770,1.6387,149.6991,137.9521,Dec/20,csv
BTCCAD,138407.9,"-2,625.4002",-1.86,-4.0015,0.3509,148.8007,136.7839,Dec/20,csv
BTCCNY,702691,"-13,225.8054",-1.85,-4.6807,-1.7940,134.8063,123.5446,Dec/20,csv
BTCJPY,15056572,"-362,472.4650",-2.35,-3.2782,-0.9706,154.1352,140.7251,Dec/20,csv
BTCNZD,170281.6,"-3,357.8326",-1.93,-3.0511,1.1137,156.3501,143.4142,Dec/20,csv
BTCCHF,85996.7,"-2,060.3691",-2.34,-4.9074,-1.6781,143.3157,128.2163,Dec/20,csv
BTCMXN,1933814,"-56,133.1488",-2.82,-5.0990,-4.0808,171.5721,158.1033,Dec/20,csv
BTCINR,8184572,"-151,506.3405",-1.82,-4.6964,-1.7800,134.2435,123.4545,Dec/20,csv
BTCBRL,586178,"-16,587.0270",-2.75,-4.1755,2.2095,187.6353,172.6512,Dec/20,csv
BTCRUB,9977095,"-160,289.2250",-1.58,-5.6982,-0.1339,166.1708,144.0708,Dec/20,csv
BTCKRW,139072584,"-2,549,402.7000",-1.80,-4.3132,0.6672,155.8089,144.0103,Dec/20,csv
BTCIDR,1559004720,"-42,477,780.0000",-2.65,-3.9493,-0.5719,141.1073,128.2155,Dec/20,csv
BTCTRY,3388688,"-46,173.5547",-1.34,-4.1651,-0.4993,173.7139,164.5114,Dec/20,csv
BTCSAR,361870,"-6,230.6094",-1.69,-4.8822,-2.2699,127.0413,119.1714,Dec/20,csv
BTCSEK,1061624,"-19,180.7565",-1.77,-4.4564,-2.7261,151.0807,139.1221,Dec/20,csv
BTCNGN,149125583,"-3,046,598.4000",-2.00,-4.8598,-10.7091,302.9991,275.6082,Dec/20,csv
BTCPLN,393391,"-8,928.3393",-2.22,-4.3376,-3.8467,138.1583,127.6539,Dec/20,csv
BTCARS,98473815,"-1,644,152.9925",-1.64,-4.4579,-0.5522,190.0082,178.1929,Dec/20,csv
BTCNOK,1090090,"-30,913.9215",-2.76,-3.3798,-0.1752,156.0807,141.3652,Dec/20,csv
BTCTWD,3139395,"-57,869.6100",-1.81,-4.6344,-2.1819,143.6155,128.6464,Dec/20,csv
BTCIRR,4016831000,"-97,069,000.0000",-2.36,-4.4338,1.5716,125.0061,120.1377,Dec/20,csv
Ether,3340.40,-92.3700,-2.69,-14.4043,-0.9577,46.4124,48.5613,Dec/21,csv
ETHBTC,0.0335314,-0.0015,-4.32,-13.4028,2.6090,-37.5300,-33.1634,Dec/20,csv
ETHEUR,3290.36,-22.4825,-0.68,-11.4624,2.1332,58.1842,61.0865,Dec/20,csv
ETHGBP,2728.85,-16.7079,-0.61,-11.7651,1.8219,51.3148,53.9855,Dec/20,csv
ETHAUD,5487.06,-15.9392,-0.29,-10.5909,5.8984,62.7775,65.9661,Dec/20,csv
ETHCAD,4931.33,-11.3432,-0.23,-11.2624,4.5545,62.1884,65.1479,Dec/20,csv
ETHCNY,25036.6,-53.5169,-0.21,-11.8887,2.3216,53.0685,55.9168,Dec/20,csv
ETHJPY,536451,"-3,927.0807",-0.73,-10.5937,3.1778,65.6661,67.8971,Dec/20,csv
ETHNZD,6067.19,-18.2016,-0.30,-10.3805,5.3533,67.1162,69.7788,Dec/20,csv
ETHCHF,3064.28,-21.7831,-0.71,-12.0911,2.4507,58.6286,59.1881,Dec/20,csv
ETHMXN,68925.0,-815.0289,-1.17,-12.2449,-0.0263,77.0973,80.0831,Dec/20,csv
ETHINR,291614,-533.4884,-0.18,-11.9029,2.3365,52.7020,55.8544,Dec/20,csv
ETHBRL,20885.7,-238.8957,-1.13,-11.4200,6.4949,87.5109,90.1711,Dec/20,csv
ETHRUB,353702,"-1,574.2475",-0.44,-13.2652,3.5308,72.6469,69.3818,Dec/20,csv
ETHKRW,4955116,"-8,188.9331",-0.17,-11.5488,4.8863,66.7604,70.1916,Dec/20,csv
ETHIDR,55543454,"-582,335.0700",-1.04,-11.2179,3.5888,57.1668,59.1653,Dec/20,csv
ETHTRY,120734.5,355.8460,0.30,-11.4144,3.6678,78.4274,84.4854,Dec/20,csv
ETHSAR,12893.3,-7.1842,-0.06,-12.0747,1.8260,50.7082,52.8670,Dec/20,csv
ETHSEK,37823.1,-54.9166,-0.15,-11.6863,1.3447,63.6684,66.7723,Dec/20,csv
ETHNGN,5313301,"-19,747.1542",-0.37,-12.0540,-6.9669,162.7129,161.9781,Dec/20,csv
ETHPLN,14016.5,-83.3003,-0.59,-11.5710,0.1834,55.2544,58.7838,Dec/20,csv
ETHARS,3508509,-239.5047,-0.01,-11.6846,3.6133,89.0502,94.0286,Dec/20,csv
ETHNOK,38844.6,-442.2654,-1.13,-10.6744,4.0219,66.9591,68.3684,Dec/20,csv
ETHTWD,111848.9,-202.9323,-0.18,-11.8510,1.9114,58.8018,59.4658,Dec/20,csv
ETHIRR,131339717,"-12,836,622.8550",-8.90,-19.3009,1.6293,37.0649,43.4729,Dec/20,csv
